bill_id,people_id,position
1893370,23213,6
1893371,23211,1
1893372,16288,5
1893372,18072,6
1893372,18078,3
1893372,19725,2
1893372,23152,1
1893372,23155,8
1893372,23212,4
1893372,23215,11
1893372,23221,10
1893372,23222,12
1893372,25335,13
1893372,25338,7
1893372,25346,9
1893373,23220,1
1893374,25359,1
1893375,16293,1
1893376,16304,2
1893376,18070,3
1893376,23224,1
1893377,19459,1
1893378,18073,1
1893378,22932,2
1893379,25342,1
1893380,22932,1
1893381,25348,1
1893382,25348,1
1893383,18065,3
1893383,19716,1
1893383,23128,8
1893383,23217,4
1893383,23219,6
1893383,23224,9
1893383,25340,2
1893383,25344,5
1893383,25351,7
1893384,18078,4
1893384,19719,7
1893384,19727,2
1893384,23221,1
1893384,23226,3
1893384,25341,5
1893384,25346,6
1893385,23203,2
1893385,23221,1
1893386,14116,4
1893386,23099,2
1893386,23137,3
1893386,23152,1
1893387,14116,2
1893387,14118,21
1893387,18065,16
1893387,19459,8
1893387,19733,22
1893387,21374,4
1893387,21719,17
1893387,21724,10
1893387,21725,14
1893387,22932,12
1893387,22948,11
1893387,23099,6
1893387,23128,25
1893387,23202,7
1893387,23205,13
1893387,23212,5
1893387,23213,18
1893387,23214,3
1893387,23220,24
1893387,23224,26
1893387,25338,19
1893387,25345,1
1893387,25350,23
1893387,25353,9
1893387,25356,20
1893387,25359,15
1893388,18063,2
1893388,18073,1
1893389,22948,1
1893390,16288,10
1893390,18065,13
1893390,21719,14
1893390,22932,7
1893390,22948,3
1893390,23137,11
1893390,23155,1
1893390,23202,5
1893390,23205,8
1893390,23210,12
1893390,23213,15
1893390,25331,6
1893390,25348,16
1893390,25353,2
1893390,25357,4
1893390,25359,9
1893391,18067,1
1893392,11611,18
1893392,14118,28
1893392,18063,13
1893392,18069,16
1893392,18073,11
1893392,18075,20
1893392,18079,5
1893392,19459,10
1893392,19720,4
1893392,19733,30
1893392,21718,14
1893392,21723,37
1893392,21728,25
1893392,22918,38
1893392,23155,1
1893392,23202,7
1893392,23203,8
1893392,23206,15
1893392,23211,27
1893392,23212,12
1893392,23214,26
1893392,23215,2
1893392,23219,31
1893392,23222,33
1893392,23225,9
1893392,23906,36
1893392,25336,17
1893392,25337,6
1893392,25338,22
1893392,25339,19
1893392,25342,21
1893392,25343,3
1893392,25346,24
1893392,25347,29
1893392,25351,32
1893392,25352,34
1893392,25355,23
1893392,25358,35
1893393,18065,9
1893393,18067,1
1893393,18079,4
1893393,22918,6
1893393,22948,7
1893393,23217,11
1893393,23221,10
1893393,23224,15
1893393,25340,8
1893393,25341,2
1893393,25344,12
1893393,25349,13
1893393,25351,14
1893393,25354,3
1893393,25356,5
1893394,16308,2
1893394,22948,1
1893395,18065,3
1893395,19716,1
1893395,19723,2
1893395,19733,7
1893395,22918,8
1893395,23213,4
1893395,23214,5
1893395,23216,6
1893396,16288,5
1893396,18065,7
1893396,22918,13
1893396,22932,3
1893396,22948,2
1893396,23128,14
1893396,23155,1
1893396,23210,6
1893396,23214,8
1893396,23230,12
1893396,25344,9
1893396,25349,11
1893396,25357,10
1893396,25359,4
1893397,23220,1
1893398,18067,1
1893399,21723,1
1893400,23216,1
1893401,18078,2
1893401,19733,4
1893401,23215,1
1893401,23906,5
1893401,25344,3
1893402,16288,5
1893402,22918,11
1893402,22932,3
1893402,22948,2
1893402,23128,12
1893402,23155,1
1893402,23210,6
1893402,23230,10
1893402,25344,7
1893402,25349,9
1893402,25357,8
1893402,25359,4
1893403,25346,1
1893404,16288,3
1893404,18065,10
1893404,22918,7
1893404,22932,1
1893404,22948,2
1893404,23128,8
1893404,23155,5
1893404,23210,4
1893404,23230,6
1893404,25349,12
